---Action(ResourceType,ResourceKey,CultureCode,ResourceValue)   Action can either be InsertUpdate or Delete
"---If you need to comment out a line begin the line with at least two dashes ""--"""
---InsertUpdate|ResourceType|ResourceKey|CultureCode|ResourceValue
-- Delete|ResourceType|ResourceKey

#NAME?
InsertUpdate|DiffuseSources|Agriculture|en-GB|Agriculture
InsertUpdate|DiffuseSources|AIR_CO_DomesticAviation.GeneralInformation|en-GB|<p>The map shows the diffuse emissions of carbonmonoxide(CO) to air from domestic aviation (below an altitude of 1000m) of the EU27 and EFTA4 countries per 5x5 km<sup>2</sup> grid cell for the reference year 2008, available in 2010. Diffuse emissions of Carbonmonoxide (CO) are expressed in tonnes per grid cell.<strong></strong></p>
InsertUpdate|DiffuseSources|AIR_CO_DomesticAviation.Methodology|en-GB|<h4>GeographicInformationSystem(GIS)overlay</h4><p>Diffuseemissionsofcarbonoxide(CO)toairfromdomesticaviation(belowanaltitudeof1000m)aredistributedaccordingtothereportingofthecountriestotheConventiononLong-RangeTransportofAirPollution(<ahref='http://www.eea.europa.eu/data-and-maps/data/national-emissions-reported-to-the-convention-on-long-range-transboundary-air-pollution-lrtap-convention-4' >CLRTAP</a>), using the location of airports (GISCO), land use information, and domestic landing and take-off cycles (GISCO). The emissions are allocated using GIS overlay techniques for distribution into grid cells with a spatial resolution of 5x5km&sup2;. The dataset is then transformed into vector polygons and projected into the E-PRTR WGS84 standard projection.</p><h4>Comparability</h4><p>Considerable spatial variation is apparent. The main reason for the difference is:</p><ul><li>The spatial pattern of emissions from domestic aviation is dependent on the spatial distribution of airports across Europe and their landing and take-off cycles</li></ul>
InsertUpdate|DiffuseSources|AIR_CO_DomesticAviation.SourceData|en-GB|<h4>Emissions data</h4><p>Emission data used are national totals including the release from civil domestic aviation (NFR 1A3aii(i) LTO) to below an altitude of 1000 m for the year 2008. These&nbsp; are based on data sets officially reported as national emission totals by countries to the Convention on Long-range Transboundary Air Pollution (<a href='http://www.eea.europa.eu/data-and-maps/data/national-emissions-reported-to-the-convention-on-long-range-transboundary-air-pollution-lrtap-convention-4' >CLRTAP</a>). Emissions data used for the gridding procedure of CO are national totals from the CLRTAP Nomenclature For Reporting (NFR). All emissions from domestic aviation are considered as diffuse releases in the E-PRTR Register. Administrative boundaries data</p><p><a href='http://epp.eurostat.ec.europa.eu/portal/page/portal/gisco/popups/references/administrative_units_statistical_units_1' >EUROSTAT GISCO<strong> </strong>Administrative units and Statistical units</a><strong> </strong></p><h4>Airport location data</h4><p>Airport locations from <a href='http://epp.eurostat.ec.europa.eu/portal/page/portal/gisco/popups/references/transport_networks' >EUROSTAT GISCO transport networks</a> data (2009 geo data set on airports)</p><h4>Activity data of domestic aviation</h4><p>Activity data from <a href='http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=avia_tf_aca&amp;lang=en' >EUROSTAT for 2008 on domestic LTO cycles </a>at airports are used</p><h4>Land use data</h4><p><a href='http://www.eea.europa.eu/data-and-maps/data' >CORINE Land Cover data</a> (<a href='http://www.eea.europa.eu/data-and-maps/data/corine-land-cover-2006-raster' >CLC<sub>2006</sub></a>, <a href='http://www.eea.europa.eu/data-and-maps/data/corine-land-cover-2000-raster' >CLC<sub>2000</sub> </a>and <a href='http://www.bfs.admin.ch/bfs/portal/de/index/dienstleistungen/geostat/datenbeschreibung/corine_land_cover.parsys.0003.downloadList.34866.DownloadFile.tmp/clcbn85.zip' >CLC<sub>CH1990</sub> for Switzerland</a>) are merged in order to cover all EU27 and EFTA4 countries. Harbour location data are derived using CORINE Land Cover data (CLC<sub>2006</sub>, CLC<sub>2000</sub> class &ldquo;1.2.3: Port areas&rdquo;)</p><p>&nbsp;</p><p>A technical overview of the spatial distribution and mapping process performed is available <a href='http://147.67.243.36/Public/irc/env/e_prtr/library?l=/prtr_expert_meeting_2/04-domestic_aviationdoc/_EN_1.0_&amp;a=d' >here</a>.</p>
InsertUpdate|DiffuseSources|AIR_CO_DomesticAviation.TitleFull|en-GB|Carbon monoxide (CO) emissions from domestic aviation (in tonnes per grid cell)
InsertUpdate|DiffuseSources|AIR_CO_DomesticAviation.TitleShort|en-GB|CO emissions from domestic aviation, t/grid
InsertUpdate|DiffuseSources|AIR_CO_DomesticShipping.GeneralInformation|en-GB|<p>The map shows the diffuse emissions of carbon monoxide (CO) to air from domestic shipping of the EU27 and EFTA4 countries per 5x5 km<sup>2</sup> grid cell for the reference year 2008, available in 2010. Diffuse emissions of carbon monoxide (CO) are expressed in tonnes per grid cell.</p>
InsertUpdate|DiffuseSources|AIR_CO_DomesticShipping.Methodology|en-GB|<h4>Geographic Information System (GIS) overlay</h4><p>Emissions of carbon monoxide (CO) to air from domestic shipping are distributed according to the data reporting of the countries to the Convention on Long-Range Transport of Air Pollution (<a href='http://www.eea.europa.eu/data-and-maps/data/national-emissions-reported-to-the-convention-on-long-range-transboundary-air-pollution-lrtap-convention-4' >CLRTAP</a>), using the location of the harbour from EUROSTAT (GISCO harbour location data), the land use information (from CORINE land cover), territorial waters,&nbsp; coastal shipping routes (spatial pattern),&nbsp; and&nbsp; navigable inland waterways. The emissions are allocated using GIS overlay techniques for distribution into grid cells with a spatial resolution of 5x5km&sup2;. The dataset is then transformed into vector polygons and projected into the E-PRTR WGS84 standard projection.</p><h4>Comparability</h4><p>Considerable spatial variation is apparent. The main reason for the difference is:</p><ul><li>The spatial pattern of emissions is dependent on the navigation routes and the spatial density of vessel traffic</li></ul>
