---Action(ResourceType,ResourceKey,CultureCode,ResourceValue)   Action can either be InsertUpdate or Delete
"---If you need to comment out a line begin the line with at least two dashes ""--"""
---InsertUpdate|ResourceType|ResourceKey|CultureCode|ResourceValue
-- Delete|ResourceType|ResourceKey

#NAME?
InsertUpdate|DiffuseSources|wnaggr.GeneralInformation|en-GB|<p>The map shows the agricultural Nitrogen (N)&nbsp;contribution to surface water in river basins of the EU per hectare of agricultural land area in the river basin district (RBD), where this information was available during first half of 2008.</p><p>The nitrogen losses are expressed in kg N per hectare agricultural land in a river basin district (RBD) per year.</p>
InsertUpdate|DiffuseSources|wnaggr.Methodology|en-GB|<p><em>Geographic Information System overlay</em></p><p>Agricultural nutrient emissions per river basin district (RBD) were distributed over the agricultural area of the RBD using a GIS overlay technique. The land cover distribution within each RBD was calculated by overlaying the river basin district map with the CORINE land cover map.</p><p><em>Comparability</em></p><p>Considerable spatial variation in emissions is apparent. The reasons for the differences are:</p><ol><li>The percentage of agriculture in the basin. RBDs with a low percentage of agricultural land tend to have lower agricultural emissions per ha of catchment than RBDs with a high percentage of agricultural land.</li><li>The variation in the type and management of agriculture across Europe.</li><li>The year or years over which emissions have been calculated will also have a strong influence, due to hydrological variation. N-emission is generally higher in years with high rainfall.</li><li>The method used to estimate the total agricultural load. As an example, some countries deduct a &ldquo;background load&rdquo; from the agricultural emissions, while others do not, but there are also other differences,</li><li>The retention in the basins, which depends a range of factors including geology and hydrology.</li></ol><p>The applied methodology is described in detail in the <a href='http://water.eionet.europa.eu/'>European Topic Centre on Water</a> (ETC/W) report which is available <a title='ETC/W report on diffuse maps not published by EEA' href='http://water.eionet.europa.eu/ETC_Reports/Report%20on%20maps%20with%20diffuse%20emissions.pdf' >here</a>.&nbsp;</p>
InsertUpdate|DiffuseSources|wnaggr.SourceData|en-GB|<p><em>Agricultural nutrient emissions</em></p><p>Information from a number of sources has been used: agricultural nutrient emissions information provided via the EEA&rsquo;s State of the Environment (SoE) test data exchange, WFD Article 5 reports, International River Basin Commissions reports, National Environment Agency websites and research papers.</p><p>Where more than one information source was available for the same RBD, the most recent one was preferred. The periods reported differ between sources, the oldest data covering 1986-92, the newest data from 2006. Some data represent single years, whilst other data represent an average over a number of years (typically 3-5 years).</p><p><em>Corine land Cover 2000</em></p><p><a href='http://dataservice.eea.europa.eu/dataservice/metadetails.asp?id=1007' >CLC2000 database version 9/2007</a></p><p><em>EU River Basin Districts (RBD)</em></p><p>The map was created before the publication of a first official version of the European RBD. Therefore a non-standard version of the RBD layer was used. For future updates of the map, the most recent RBD layer available at that point in time will be used to ensure a maximum consistency between the existing European datasets.</p><p>Detailed information concerning the datasets used is provided in the <a href='http://water.eionet.europa.eu/' >European Topic Centre for Water</a> (ETC/W)&nbsp;report which is available <a title='ETC/W report on diffuse maps not published by EEA' href='http://water.eionet.europa.eu/ETC_Reports/Report%20on%20maps%20with%20diffuse%20emissions.pdf' >here</a>.</p>
InsertUpdate|DiffuseSources|wnaggr.TitleFull|en-GB|Agricultural N loss to surface water bodies (in kg N/ha agricultural land area/year)
InsertUpdate|DiffuseSources|wnaggr.TitleShort|en-GB|Nitrogen loss from agriculture, kg per agricultural area
InsertUpdate|DiffuseSources|wnrbd.GeneralInformation|en-GB|<p>The map shows the agricultural&nbsp;Nitrogen (N) contribution to surface water in river basins of the EU per hectare of land area in the river basin district (RBD), where this information was available during first half of 2008.</p><p>The nitrogen losses are expressed in kg N per hectare of the river basin district (RBD) per year.</p>
InsertUpdate|DiffuseSources|wnrbd.Methodology|en-GB|<p><em>Geographical Information System overlay</em></p><p>Agricultural nutrient emissions per river basin district (RBD) were distributed over the total area of the river basin district (RBD) using a Geographical Information System (GIS) overlay technique.</p><p><em>Comparability</em></p><p>Considerable spatial variation in emissions is noticeable. The reasons for the differences are:</p><ol><li>The percentage of agriculture in the basin. RBDs with a low percentage of agricultural land tend to have lower agricultural emissions per ha of catchment than RBDs with a high percentage of agricultural land.</li><li>The variation in the type and management of agriculture across Europe.</li><li>The year or years over which emissions have been calculated will also have a strong influence, due to hydrological variation. N-emission is generally higher in years with high rainfall.</li><li>The method used to estimate the total agricultural load. As an example, some countries deduct a &ldquo;background load&rdquo; from the agricultural emissions, while others do not, but there are also other differences,</li><li>The retention in the basins, which depends a range of factors including geology and hydrology.</li></ol><p>The applied methodology is described in detail in the&nbsp;<a href='http://water.eionet.europa.eu/' >European Topic Centre for Water </a>(ETC/W) report which is available <a title='ETC/W report on diffuse maps not published by EEA' href='http://water.eionet.europa.eu/ETC_Reports/Report%20on%20maps%20with%20diffuse%20emissions.pdf' >here</a>.</p>
InsertUpdate|DiffuseSources|wnrbd.SourceData|en-GB|<p><em>Agricultural nutrient emissions</em></p><p>Information from a number of sources has been used: agricultural nutrient emissions information provided via the EEA&rsquo;s State of the Environment (SoE) test data exchange, reports from Member States in the context of the implementation of the Water Framework Directive, , International River Basin Commissions reports, National Environment Agency websites and research papers.</p><p>Where more than one information source was available for the same RBD, the most recent one was preferred. The periods reported differ between sources, the oldest data covering 1986-92, the newest data from 2006. Some data represent single years, whilst other data represent an average over a number of years (typically 3-5 years).</p><p><em>Corine land Cover 2000</em></p><p><a href='http://dataservice.eea.europa.eu/dataservice/metadetails.asp?id=1007' >CLC2000 database version 9/2007</a></p><p><em>EU River Basin Districts (RBD)</em></p><p>The map was created before the publication of a first official version of the European RBD. Therefore a non-standard version of the RBD layer was used. For future updates of the map, the most recent RBD layer available at that point in time will be used to ensure a maximum consistency between the existing European datasets.</p><p>Detailed information concerning the datasets used is provided in the <a href='http://water.eionet.europa.eu/' >European Topic Centre for Water</a> (ETC/W) report which is available <a title='ETC/W report on diffuse maps not published by EEA' href='http://water.eionet.europa.eu/ETC_Reports/Report%20on%20maps%20with%20diffuse%20emissions.pdf' >here</a>.</p>
InsertUpdate|DiffuseSources|wnrbd.TitleFull|en-GB|Agricultural N loss to surface water bodies (in kg N/ha RBD land area/year)
InsertUpdate|DiffuseSources|wnrbd.TitleShort|en-GB|Nitrogen loss from agriculture, kg per total RBD area
InsertUpdate|DiffuseSources|wpaggr.GeneralInformation|en-GB|<p>The map shows the agricultural phosphorus (P) contribution to surface water in river basins of the EU per hectare of agricultural land area in the river basin district (RBD), where this information was available during first half of 2008.</p><p>The phosphorus losses are expressed in kg P per hectare agricultural land in a river basin district (RBD) per year.</p>
