---Action(ResourceType,ResourceKey,CultureCode,ResourceValue)   Action can either be InsertUpdate or Delete
---If you need to comment out a line begin the line with at least two dashes "--"
---InsertUpdate|ResourceType|ResourceKey|CultureCode|ResourceValue
-- Delete|ResourceType|ResourceKey

--Database date in CSV headers
InsertUpdate|Common|DatabaseDate|en-GB|E-PRTR database version
InsertUpdate|Common|DatabaseDateReview|en-GB|E-PRTR REVIEW database version


--LOV_METODTYPE
InsertUpdate|LOV_METHODTYPE|CEN/ISO|en-GB|Internationally approved measurement standard
InsertUpdate|LOV_METHODTYPE|ETS|en-GB|Guidelines for the monitoring and reporting of greenhouse gas emissions under the Emission Trading Scheme.
InsertUpdate|LOV_METHODTYPE|IPCC|en-GB|IPCC Guidelines
InsertUpdate|LOV_METHODTYPE|UNECE/EMEP|en-GB|UNECE/EMEP EMEP/CORINAIR Emission Inventory Guidebook
InsertUpdate|LOV_METHODTYPE|PER|en-GB|Measurement/Calculation Methodology already prescribed by the competent authority in a licence or an operating permit for that facility
InsertUpdate|LOV_METHODTYPE|NRB|en-GB|National or regional binding measurement/calculation methodology prescribed by legal act for the pollutant and facility concerned.
InsertUpdate|LOV_METHODTYPE|ALT|en-GB|Alternative measurement methodology in accordance with existing CEN/ISO measurement standards
InsertUpdate|LOV_METHODTYPE|CRM|en-GB|Measurement methodology for the performance of which is demonstrated by means of certified reference materials and accepted by competent authority.
InsertUpdate|LOV_METHODTYPE|MAB|en-GB|Mass balance method which is accepted by the competent authority
InsertUpdate|LOV_METHODTYPE|SSC|en-GB|European-wide sector specific calculation method
InsertUpdate|LOV_METHODTYPE|WEIGH|en-GB|Weighing
InsertUpdate|LOV_METHODTYPE|OTH|en-GB|Other measurement/calculation methodology


--method info in CSV
InsertUpdate|Common|MethodBasisCode|en-GB|Method Basis Code
InsertUpdate|Common|MethodBasisName|en-GB|Method Basis Name
InsertUpdate|Common|MethodTypeCode|en-GB|Method Type Code
InsertUpdate|Common|MethodTypeName|en-GB|Method Type Name
InsertUpdate|Common|MethodDesignation|en-GB|Method Designation


--National ID in facility details
InsertUpdate|Facility|InYear|en-GB|(in {0})

--new CSV downloads
InsertUpdate|Common|NUTSRegion|en-GB|NUTS Region
InsertUpdate|Pollutant|CASnumber|en-GB|CAS number
Delete|Pollutant|RegulationNumber
InsertUpdate|LOV_REGULATION|EPRTR.legal|en-GB|Regulation (EC) 166/2006

--remove dublicate resources (that are no longer used anyway)
Delete|Library|PollutantPageContent

--Add Serbia as reporting country
InsertUpdate|RS-1|LOV_RIVERBASINDISTRICT|en-GB|Serbia
InsertUpdate|RS11|LOV_NUTSREGION|en-GB|City of Belgrade
InsertUpdate|RS12|LOV_NUTSREGION|en-GB|Region of Vojvodina
InsertUpdate|RS21|LOV_NUTSREGION|en-GB|Region of Sumadija and Western Serbia
InsertUpdate|RS22|LOV_NUTSREGION|en-GB|Region of South and Easth Serbia
InsertUpdate|RS23|LOV_NUTSREGION|en-GB|Region of Kosovo and Metohia

--Accidental search option
InsertUpdate|Common|AccidentalOnly|en-GB|Accidental only
--Add new diffuse sectors

InsertUpdate|DiffuseSources|IndustrialReleases|en-GB|Industrial releases
InsertUpdate|DiffuseSources|NonIndustrialCombustion|en-GB|Non-industrial combustion
InsertUpdate|DiffuseSources|DomesticShipping|en-GB|Domestic shipping
InsertUpdate|DiffuseSources|DomesticAviation|en-GB|Domestic aviation
InsertUpdate|DiffuseSources|InternationalShipping|en-GB|International shipping


InsertUpdate|FilterAllWidgetStrings|NOXindu|en-GB|NOX emissions from diffuse industrial releases, [t/grid]
InsertUpdate|FilterAllWidgetStrings|NOXnonindu|en-GB|NOX emissions from non-industrial combustion, [t/grid]
InsertUpdate|FilterAllWidgetStrings|NOXroad|en-GB|NOX emissions from road transport, [t/grid]
InsertUpdate|FilterAllWidgetStrings|NOXdomship|en-GB|NOX emissions from domestic shipping, [t/grid]
InsertUpdate|FilterAllWidgetStrings|NOXdomav|en-GB|NOX emissions from domestic aviation, [t/grid]

InsertUpdate|FilterAllWidgetStrings|SO2indu|en-GB|SO2 emissions from diffuse industrial releases, [t/grid]
InsertUpdate|FilterAllWidgetStrings|SO2nonindu|en-GB|SO2 emissions from non-industrial combustion, [t/grid] 
InsertUpdate|FilterAllWidgetStrings|SO2road|en-GB|SO2 emissions from road transport, [t/grid]  
InsertUpdate|FilterAllWidgetStrings|SO2domship|en-GB|SO2 emissions from domestic shipping, [t/grid]
InsertUpdate|FilterAllWidgetStrings|SO2domav|en-GB|SO2 emissions from domestic aviation, [t/grid]

InsertUpdate|FilterAllWidgetStrings|PM10indu|en-GB|PM10 emissions from diffuse industrial releases, [t/grid]
InsertUpdate|FilterAllWidgetStrings|PM10nonindu|en-GB|PM10 emissions from non-industrial combustion, [t/grid]
InsertUpdate|FilterAllWidgetStrings|PM10road|en-GB|PM10 emissions from road transport, [t/grid] 
InsertUpdate|FilterAllWidgetStrings|PM10domship|en-GB|PM10 emissions from domestic shipping, [t/grid]
InsertUpdate|FilterAllWidgetStrings|PM10domav|en-GB|PM10 emissions from domestic aviation, [t/grid]
InsertUpdate|FilterAllWidgetStrings|PM10agr|en-GB|PM10 emissions from agriculture, [t/grid] 

InsertUpdate|FilterAllWidgetStrings|NH3agr|en-GB|NH3 emissions from agriculture [t/grid] 
    
InsertUpdate|FilterAllWidgetStrings|COindu|en-GB|CO emissions from diffuse industrial releases, [t/grid] 
InsertUpdate|FilterAllWidgetStrings|COnonindu|en-GB|CO emissions from non-industrial combustion, [t/grid]
InsertUpdate|FilterAllWidgetStrings|COroad|en-GB|CO emissions from road transport, [t/grid]
InsertUpdate|FilterAllWidgetStrings|COdomship|en-GB|CO emissions from domestic shipping, [t/grid]
InsertUpdate|FilterAllWidgetStrings|COdomav|en-GB|CO emissions from domestic aviation, [t/grid]
	
InsertUpdate|FilterAllWidgetStrings|CO2indu|en-GB|CO2 emissions from diffuse industrial releases, [kt/grid]
InsertUpdate|FilterAllWidgetStrings|CO2nonindu|en-GB|CO2 emissions from non-industrial combustion, [kt/grid] 
InsertUpdate|FilterAllWidgetStrings|CO2road|en-GB|CO2 emissions from road transport, [kt/grid] 
InsertUpdate|FilterAllWidgetStrings|CO2domship|en-GB|CO2 emissions from domestic shipping, [kt/grid] 
InsertUpdate|FilterAllWidgetStrings|CO2domav|en-GB|CO2 emissions from domestic aviation, [kt/grid]
	
InsertUpdate|FilterAllWidgetStrings|NOXinship|en-GB|NOX emissions from international shipping, [t/grid] 
InsertUpdate|FilterAllWidgetStrings|SO2inship|en-GB|SO2 emissions from international shipping, [t/grid]
