---Action(ResourceType,ResourceKey,CultureCode,ResourceValue)   Action can either be InsertUpdate or Delete
---If you need to comment out a line begin the line with at least two dashes "--"
---InsertUpdate|ResourceType|ResourceKey|CultureCode|ResourceValue
-- Delete|ResourceType|ResourceKey

--Add new diffuse sectors

InsertUpdate|DiffuseSources|IndustrialReleases|en-GB|Industrial releases
InsertUpdate|DiffuseSources|NonIndustrialCombustion|en-GB|Non-industrial combustion
InsertUpdate|DiffuseSources|DomesticShipping|en-GB|Domestic shipping
InsertUpdate|DiffuseSources|DomesticAviation|en-GB|Domestic aviation
InsertUpdate|DiffuseSources|InternationalAviation|en-GB|International aviation

