PollutantId;Mapname;Identification;AltDescription;CAS;Mapname2;EPERList;RSName
1;Not specified;Not specified;Not specified;NULL;NULL;1;Not specified
2;1. Environmental Themes;1. Environmental Themes;1. Environmental Themes;NULL;NULL;1;1. Environmental Themes
3;CH4;Methane, CH4;Methane, CH4;74-82-8;NULL;1;"CH4; Methane"
4;CO;Carbon monoxide, CO;Carbon monoxide, CO;630-08-0;NULL;1;"CO; Carbon monoxide"
5;CO2;Carbon dioxide, CO2;Carbon dioxide, CO2;124-38-9;NULL;1;"CO2; Carbon dioxide"
6;HFCs;Hydrofluorocarbons (HFCs);Hydrofluorocarbons (HFCs);NULL;NULL;1;HFCs
7;N2O;Nitrous oxide (N2O);Nitrous oxide (N2O);10024-97-2;NULL;1;"N2O; Dinitrogenoxide"
8;NH3;Ammonia, NH3;Ammonia, NH3;7664-41-7;NULL;1;"NH3; Ammonia"
9;NMVOC;Non methane volatile organic compounds (NMVOC);Non-methane volatile org. comp. (NMVOC);NULL;NULL;1;NMVOC
10;NOx;Nitrogen oxides, NOx;Nitrogen oxides, NOx;NULL;NULL;1;NOx
11;PFCs;Perfluorocarbons (PFCs);Perfluorocarbons (PFCs);NULL;NULL;1;PFCs
12;SF6;Sulphur hexafluoride (SF6);Sulphur hexafluoride (SF6);2551-62-4;NULL;1;"SF6; Sulphur hexafluoride"
13;SOx;Sulphur oxides (SOx);Sulphur oxides (SOx);NULL;NULL;1;SOx
14;Total - Nitrogen;Nitrogen, total;Nitrogen, total;NULL;NULL;1;Total - Nitrogen
15;Total - Phosphorus;Phosphorus, total;Phosphorus, total;NULL;NULL;1;Total - Phosphorus
16;2. Metals and compounds;2. Metals and compounds;2. Metals and compounds;NULL;NULL;1;2. Metals and compounds
17;As and compounds;Arsenic and its compounds;Arsenic and its compounds;NULL;NULL;1;As and compounds
18;Cd and compounds;Cadmium and its compounds;Cadmium and its compounds;NULL;NULL;1;Cd and compounds
19;Cr and compounds;Chromium and its compounds;Chromium and its compounds;NULL;NULL;1;Cr and compounds
20;Cu and compounds;Copper and its compounds;Copper and its compounds;NULL;NULL;1;Cu and compounds
21;Hg and compounds;Mercury and its compounds;Mercury and its compounds;NULL;NULL;1;Hg and compounds
22;Ni and compounds;Nickel and its compounds;Nickel and its compounds;NULL;NULL;1;Ni and compounds
23;Pb and compounds;Lead and its compounds;Lead and its compounds;NULL;NULL;1;Pb and compounds
